"District_Name","SubCounty","Parish","Villagecode","OtherDiseaseID","C4DQ59ABC1","C4DQ59ABC2","Survey_Visit","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,2,3,"no health centre at the island"
102,102101,10210104,1021010402,1,"EYE",2,2,2,
102,102101,10210104,1021010402,2,"ENT",2,2,2,
102,102101,10210104,1021010402,3,"FINGAL",1,2,2,
102,102101,10210104,1021010402,4,"DENTAL",2,2,2,
102,102101,10210108,1021010802,1,"EYE INFECTION",2,2,1,
102,102101,10210108,1021010802,2,"ENT INFECTION",2,2,1,
102,102101,10210108,1021010802,3,"DENTAL DISEASE",1,2,1,
102,102102,10210202,1021020205,,,,2,,
102,102102,10210205,1021020504,,,,2,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,,,,2,1,
102,102102,10210208,1021020805,1,"Skin infections",3,2,1,
102,102103,10210301,1021030109,,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,"MENTAL CONDITIONS",2,2,1,
102,102103,10210302,1021030203,2,"EYE CONDITIONS",3,2,1,
102,102103,10210302,1021030203,3,"DENTAL CONDITIONS",1,2,1,
102,102103,10210302,1021030203,4,"PEPTIC ULCERS",2,2,1,
102,102103,10210304,1021030412,1,"MENTAL DISEASES",2,2,3,"done by another team in trip 1"
102,102103,10210304,1021030412,2,"EYE DISEASES",3,2,3,"done by another team in trip 1"
102,102103,10210304,1021030412,3,"DENTAL DISEASES",1,2,3,"done by another team in trip 1"
102,102103,10210304,1021030412,4,"PEPTIC ULCERS",2,2,3,"done by another team in trip 1"
102,102103,10210305,1021030504,1,"EYE  INFECTION",2,1,1,
102,102103,10210305,1021030504,2,"SKIN  INFECTION",3,1,1,
102,102103,10210305,1021030504,3,"UTI,S",3,1,1,
102,102103,10210305,1021030509,,,,2,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,2,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,2,,
102,102103,10210309,1021030904,1,"MENTAL CONDITIONS",2,1,1,
102,102103,10210309,1021030904,1,"MENTAL CONDITIONS",2,2,1,
102,102103,10210309,1021030904,2,"EYE CONDITIONS",3,1,1,
102,102103,10210309,1021030904,2,"EYE CONDITIONS",3,2,1,
102,102103,10210309,1021030904,3,"DENTAL PROBLEMS",1,2,1,
102,102103,10210309,1021030904,3,"DENTAL PROBLEMS",1,1,1,
102,102103,10210309,1021030904,4,"PETIC ALCURS",2,2,1,
102,102103,10210309,1021030904,4,"PETIC ALCURS",2,1,1,
102,102103,10210312,1021031208,,,,2,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,1,"SKIN INFECTIONS",2,2,1,
102,102104,10210401,1021040102,2,"EAR NOSE INFECTIONS",2,2,1,
102,102104,10210402,1021040203,,,,1,3,
102,102104,10210410,1021041002,1,"Skin infections",1,2,2,
102,102104,10210410,1021041002,2,"gynoclogical cases",1,2,2,
102,102104,10210411,1021041118,,,,2,,
102,102104,10210417,1021041701,,,,2,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,2,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,,2,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,,2,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,,2,3,
102,102105,10210510,1021051004,1,"SKIN INFECTIONS",1,2,1,
102,102105,10210513,1021051305,,,,2,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
