"HHID","PID","PID_Old","HHID_old","DynID","h2q1","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10","h2q11","h2q13_1","h2q13_2","wgt_X"
"H00101-04-01","P00101-001","101300020101",1013000201,101,1,2,1,12,,1,48,99,99,1965,3,1,,,2792.466796875
"H00101-04-01","P00101-008",,1013000201,,4,1,3,12,,1,18,99,99,1995,5,1,,,2792.466796875
"H00101-04-01","P00101-009",,1013000201,,5,1,3,12,,1,20,99,99,1993,5,1,,,2792.466796875
"H00102-04-01","P00102-001","101300020201",1013000202,102,1,2,1,12,,1,46,99,99,1968,3,1,,,2792.466796875
"H00102-04-01","P00102-002","101300020202",1013000202,102,2,1,3,5,15,4,10,2,8,2004,5,1,,,2792.466796875
"H00102-04-01","P00102-003","101300020203",1013000202,102,3,2,8,12,,1,9,99,99,2005,,1,,,2792.466796875
"H00102-04-01","P00102-004",,1013000202,,4,2,3,12,,1,2,11,7,2012,,1,,,2792.466796875
"H00104-04-01","P00104-001","101300020401",1013000204,104,1,1,1,12,,1,39,14,3,1975,1,1,,,2792.466796875
"H00104-04-01","P00104-002","101300020402",1013000204,104,2,2,2,4,20,1,37,99,99,1977,1,1,,,2792.466796875
"H00104-04-01","P00104-003","101300020403",1013000204,104,3,2,3,12,,2,11,9,2,2003,5,1,,,2792.466796875
"H00104-04-01","P00104-006",,1013000204,,6,2,3,12,,1,3,99,4,2011,,1,,,2792.466796875
"H00104-04-01","P00104-007",,1013000204,,7,2,3,10,1,1,0,12,8,2013,,1,,,2792.466796875
"H00110-04-01","P00110-001","101300021001",1013000210,110,1,1,1,7,13,1,41,99,4,1972,4,1,,,2792.466796875
"H00110-04-01","P00110-004",,1013000210,,2,1,10,9,13,2,25,99,99,1988,5,1,,,2792.466796875
"H00208-04-01","P00208-001","102100010801",1021000108,208,1,1,1,12,,1,75,3,3,1939,1,1,,,1874.79821777344
"H00208-04-01","P00208-002","102100010802",1021000108,208,2,2,2,12,,1,64,25,11,1949,1,1,,,1874.79821777344
"H00208-04-01","P00208-004","102100010804",1021000108,208,3,1,3,12,,1,28,3,3,1986,5,1,,102,1874.79821777344
"H00208-04-01","P00208-005","102100010805",1021000108,208,4,1,3,12,,1,25,11,1,1989,5,1,,,1874.79821777344
"H00208-04-01","P00208-006","102100010806",1021000108,208,5,2,3,12,,1,21,11,4,1992,5,1,,,1874.79821777344
"H00209-04-01","P00209-001","102100010901",1021000109,209,1,2,1,12,,1,43,99,99,1970,3,1,,,1874.79821777344
